Dim1,Dim2,Label
36.149696,20.493774,7
1.8807275,6.8141694,2
15.600712,-2.9305696,1
-3.6701553,3.3093493,0
4.004977,2.5885339,4
12.545014,-2.4413733,1
10.115212,5.456694,4
2.9426687,1.1311476,9
2.775669,6.515037,5
15.973395,18.1939,9
-3.6881297,-0.3894385,0
1.0759135,3.4491854,6
8.058422,4.3000455,9
-4.014136,2.6809168,0
15.312869,-0.7697389,1
-1.840814,0.13294032,5
5.3847265,2.9755645,9
47.77732,22.472855,7
-1.8409992,0.45442525,3
6.7877564,3.1856465,4
15.276338,17.029152,9
0.8686485,5.7819314,6
1.2508942,3.5674353,6
-0.65421116,-0.5611934,5
5.478258,2.2925637,4
-5.8192596,4.3308873,0
37.196167,11.6348295,7
4.894853,2.606036,4
-3.390584,2.756966,0
27.699167,0.032524526,1
-1.2812388,1.5325646,3
17.54608,0.84687036,1
-1.0117911,0.65249205,3
-4.710348,3.0716913,4
1.1797972,-0.9089973,7
0.026743636,-3.6319916,2
30.432468,13.958153,7
22.160053,-0.637549,1
-0.7358027,-0.7313472,2
11.628864,-1.1853633,1
26.371513,-2.1462364,1
23.424261,13.198385,7
8.562641,3.8728995,4
0.12679629,-2.063945,2
1.4489276,8.158525,3
-0.82696885,-0.41285276,5
21.242867,2.1746917,1
2.0722651,6.468911,2
5.105249,2.719941,4
3.361227,2.3089776,4
0.0035939217,8.106844,6
-1.7899629,0.5677038,3
-3.9608526,11.336724,5
-1.7274177,0.8247794,5
1.0437675,2.381267,6
-2.6913974,2.4131799,0
4.0353737,2.8819373,4
18.024096,-2.8114383,1
6.00079,3.5610578,9
-0.7898296,46.011536,5
50.467964,12.620685,7
0.40619513,-4.3976426,8
7.700412,2.352982,9
-0.8659348,-1.6278553,3
13.357961,23.53376,7
8.191734,2.644991,4
1.2732282,3.9789033,6
4.246968,2.9236212,4
-0.4001524,-0.32163692,3
-11.695624,4.698346,0
48.094883,25.406471,7
-6.1968775,3.0003653,0
-1.4898585,-1.060226,2
1.837946,-1.48316,9
21.94104,-1.1929021,1
14.806186,7.2990847,7
-0.6836766,-0.4068554,3
3.511521,0.569257,2
14.65611,16.277224,9
46.51081,44.883125,7
5.884886,2.00677,7
0.2351079,5.9423523,6
-0.90777445,-3.5058677,2
26.696135,8.854936,7
-0.60202616,0.86481315,8
4.6687503,2.7856865,4
24.76525,17.746725,7
-1.1861128,0.97322834,3
0.75258744,4.064498,6
12.343418,-2.4497967,1
-1.3045727,-0.41156396,3
0.21685481,6.345211,6
1.9174076,-0.9987562,9
-0.92782044,-0.49259332,3
21.576458,1.5227773,1
5.1184225,3.171036,4
22.928637,2.3801117,1
14.142804,9.225319,7
0.37005568,5.8420477,6
4.1402535,2.1088943,9
1.0485295,4.292519,6
-4.5940604,2.6887405,0
-0.6722882,0.8683072,5
3.716459,2.689416,4
-0.4735384,0.15275888,9
5.082831,2.4198244,9
-2.3530927,-2.6070228,2
13.025406,-4.517438,1
6.9772625,2.4739695,9
6.936339,7.6426115,4
0.6146888,-1.3836583,8
4.139899,-0.9933138,7
-0.2100288,-0.3964742,3
6.821792,2.5593812,9
13.335274,7.164308,7
5.2886105,6.482888,4
1.6876103,-0.032523498,4
3.4714785,2.5050783,4
10.122911,5.5892067,9
7.808037,4.7691417,2
-1.0272285,0.9557115,5
3.9176803,7.4973197,4
21.349434,7.062869,7
0.34990108,5.5720515,6
21.130602,11.180738,7
4.6149993,1.5393654,9
-3.1949675,1.0810761,0
-1.0213482,1.4072344,5
0.11917298,-0.44273368,8
-0.5948552,-0.47594792,5
-0.7673786,6.400182,6
-1.4352037,7.4936876,6
-0.94379765,-0.21285635,5
6.4047966,3.2239566,7
0.37081224,-1.2179381,8
12.85204,-0.9962892,1
-1.7836944,-0.41571188,0
9.279163,-2.4566455,1
0.5183959,4.1503916,6
7.5262957,6.3497305,4
0.8378308,6.860489,6
39.896626,11.306351,7
-0.5919282,-0.015485078,3
21.43697,-2.9746468,1
11.697598,14.54664,7
29.79754,-0.4205783,1
0.36484525,-0.9922999,8
-1.5679839,-4.135368,2
-3.264841,2.8019288,0
1.5610119,6.41997,2
4.826124,2.264014,9
-1.0369186,0.3126098,9
-3.1856542,58.68328,5
-0.7606299,-0.2614267,5
14.262668,-0.2895262,1
-3.2613273,9.049012,5
1.2248386,4.234997,6
-2.4678216,2.2482574,0
-1.182179,-0.17022792,3
10.713264,4.464278,4
5.669074,2.1564875,4
-1.0292826,6.832131,6
-0.40886268,-0.42397332,5
4.3972464,2.8397257,4
0.9488901,4.575635,6
-1.6173743,0.045873016,5
6.888174,2.8148172,4
-15.785744,52.043987,5
27.138138,-1.2173305,1
7.564634,3.1925182,4
5.836072,2.119379,4
1.287279,-1.0027634,7
