Dim1,Dim2,Label
27.801125,6.4096975,7
0.08161038,0.5837511,2
41.988754,-36.04061,1
-2.8318048,-1.1697598,0
4.031783,5.214867,4
26.769659,-23.321262,1
3.4263973,2.2378728,4
1.7150853,3.6897278,9
1.3569353,3.8142002,5
7.1551156,0.4226017,9
-5.489565,-2.9106627,0
0.9602746,6.6906614,6
4.089035,2.167806,9
-3.6057024,-2.6209745,0
44.856045,-30.471767,1
-2.8493013,-3.713214,5
4.2808475,3.7856755,9
41.537754,13.10783,7
-2.4712138,-5.0552216,3
3.102519,2.7957153,4
4.477505,0.14288068,9
0.77526975,3.6090894,6
1.7853878,6.7803307,6
0.5661646,-1.998689,5
2.3554654,3.643173,4
-8.555628,-0.9824991,0
26.98661,14.69367,7
4.2429023,4.228266,4
-2.8034167,-1.7039981,0
75.31501,-41.9276,1
-0.62303245,-1.3462262,3
47.250046,-24.415857,1
-1.1319281,-3.003969,3
-1.8753647,10.211808,4
30.735209,1.2640429,7
-0.6927689,0.42495897,2
18.412043,7.557105,7
65.36181,-39.40122,1
-0.13415231,0.5831965,2
30.435795,-22.020292,1
51.42587,-37.541416,1
7.0416474,2.2505867,7
3.253829,2.1433873,4
0.30796117,0.51465225,2
-0.6965236,-0.7880734,3
-1.1022325,-1.0053108,5
44.65135,-18.56594,1
-0.24283314,0.70146585,2
4.7189255,4.122567,4
4.213865,6.1716595,4
0.20331913,2.223827,6
-2.1354122,-4.271137,3
0.40512818,-2.5284474,5
-2.7055168,-3.1603231,5
1.8844613,12.092028,6
-2.422235,-1.6370993,0
5.0742745,5.740009,4
40.793335,-33.685455,1
4.441755,3.7482564,9
4.9734855,-2.0291634,5
28.415192,18.89207,7
-0.6167155,0.14921916,8
2.4279504,2.1974993,9
-0.36047482,0.25547042,3
19.134972,-1.3722665,7
1.8500937,1.5836028,4
-1.2143624,-1.292431,6
4.570488,4.5428166,4
-0.4813969,-1.7583723,3
-0.8765921,15.337853,0
62.408257,18.084251,7
-8.214842,-3.7906418,0
-1.6072879,-0.72074604,2
34.96212,-4.4089313,9
59.56717,-37.628193,1
2.603732,1.095212,7
-0.89133465,-1.8227396,3
4.731164,-0.72830564,2
3.1961493,0.19267774,9
68.82716,5.0843215,7
2.583076,3.323959,7
0.5191046,3.6571236,6
-0.77769256,0.87294275,2
21.444946,10.976856,7
0.017163515,-3.5872996,8
4.501096,4.615637,4
31.689756,4.799737,7
-1.3568542,-1.8623662,3
1.3551147,5.9977036,6
18.52954,-15.360809,1
-1.2697674,-1.6658747,3
0.6745695,3.526861,6
6.433296,-0.5412195,9
-0.62650067,-1.221269,3
70.91649,-35.218994,1
4.1549797,2.447321,4
55.708496,-24.351028,1
2.7619123,0.75632846,7
0.4237203,3.5492897,6
3.6585839,5.1241684,9
1.3950118,5.0522256,6
-4.920696,-2.859704,0
0.28771463,-3.1611722,5
4.302924,6.2096334,4
3.270865,5.663072,9
3.9101605,4.1265483,9
-0.8474801,0.6762222,2
16.895237,-16.84233,1
2.8559906,2.8780255,9
3.4537506,2.1236181,4
-0.65802014,-0.44847462,8
13.666546,-10.33529,7
-0.21599996,-1.696861,3
3.1847315,3.0953267,9
2.078774,1.0794727,7
2.4588883,1.4175167,4
2.7449365,2.0495288,4
4.7320957,6.917314,4
3.512882,1.8851063,9
-0.52286386,0.50770676,2
-0.26775014,-3.2764187,5
5.0456796,1.0947224,4
1.9444422,2.0431325,7
0.4022928,3.5036268,6
12.130686,4.7401085,7
1.9697379,3.2735493,9
-6.2982454,-6.1129255,0
0.71427757,-2.958788,5
0.22425517,-3.0247047,8
0.52627474,-2.3150253,5
0.14186502,3.9640312,6
-0.13501233,3.9269054,6
-2.0327396,-2.3368168,5
3.4663424,1.5942078,7
1.1649052,-2.4100847,8
37.061394,-25.76316,1
-2.3607302,-1.628089,0
13.585216,-11.843849,1
0.9772302,5.7927294,6
6.207091,0.9699855,4
0.4141734,2.2691607,6
35.074852,18.685001,7
-1.050632,-3.2003062,3
48.272415,-38.502975,1
4.2158933,0.2815249,7
71.08618,-40.032143,1
1.222542,-3.2403183,8
-1.4580053,1.2519642,2
-2.4885345,-1.5461969,0
1.9606223,3.2828903,2
3.695867,3.8114407,9
-0.8981659,-4.2921133,9
4.6441736,-1.9061351,5
-1.4275086,-1.8771939,5
30.454388,-19.919134,1
1.3615828,-2.2040899,5
1.5904481,5.699824,6
-2.5261917,-1.7893276,0
-1.2339467,-2.3680902,3
1.1565111,1.4786776,4
2.8239305,2.4971278,4
-0.6872043,4.0487466,6
0.41212013,-2.7886949,5
4.696136,5.719861,4
1.4604508,4.5943694,6
-2.3637638,-2.9072611,5
3.4020772,2.480971,4
8.886441,-4.0345006,5
71.97717,-44.223255,1
2.657093,2.2150483,4
2.7489562,3.2079575,4
29.135416,-3.0869513,7
-0.29392445,-29.603062,2
-1.4390147,-2.921767,3
-0.19471657,0.5912241,2
1.8593574,0.72321296,7
51.721836,-38.14869,1
0.18848611,-2.5660808,8
38.792988,-27.096312,1
-0.0096462965,-2.3140242,8
33.013397,-22.728312,1
-0.344365,-2.511467,8
0.31725395,-2.2369819,5
-9.698126,-3.204361,0
-0.99531853,-0.89616156,8
4.030201,2.6437163,9
0.06493115,0.5809352,2
-1.8849487,-2.6425214,5
-5.8084717,-1.3607855,0
54.147476,-25.532938,1
14.167924,-11.846703,1
62.544117,-26.86718,1
-3.9242651,0.9866164,0
-0.3506765,-2.8053226,9
-2.812986,-1.9262614,0
1.5159057,3.1248386,3
44.237602,-30.524248,1
-0.21055788,2.5604448,6
3.3231406,2.4729714,4
-0.69402313,0.6116415,2
-1.0867682,-1.1791675,3
0.6022167,10.852288,6
35.191772,-38.286255,1
40.72642,-25.766768,1
42.821632,-36.923706,1
-0.66708636,-2.2073023,3
2.9979744,2.1662388,9
-2.2388768,-2.9538834,5
-0.41593835,1.0061921,2
2.3050113,4.0307226,9
4.2136583,4.834849,4
3.4494107,-1.2328639,5
3.5592122,5.799296,9
0.7419262,0.026201963,3
3.035214,2.5504184,9
-2.308234,-0.95325994,0
-0.60804224,-1.0227886,3
2.4589434,-1.0819149,6
4.4204493,-1.918478,5
